State Abbrev,States,Total admissions,Total violation admissions,Total probation violation admissions,New offense probation violation admissions,Technical probation violation admissions,Total parole violation admissions,New offense parole violation admissions,Technical parole violation admissions,,No Revised Data Provided,Change in Revised Data,,,,,,,,,,
AK,Alaska,"30,816","4,895","3,900","1,829","2,071",995,219,776,,,,,,,,,,,,,
AL,Alabama,"12,643","3,220","2,370",800,"1,570",850,143,707,,,X,,,,,,,,,,
AR,Arkansas,"9,852","5,712",640,638,2,"5,072","2,693","2,379",,,,,,,,,,,,,
AZ,Arizona,"18,262","7,991","4,570","1,641","2,929","3,421",149,"3,272",,,,,,,,,,,,,
CA,California,"37,138","12,228","7,545","3,320","4,225","4,683","4,653",30,,,,,,,,,,,,,
CO,Colorado,"9,162","3,429",29,12,17,"3,400",945,"2,455",,,X,,,,,,,,,,
CT,Connecticut,"21,555","2,617",816,,,"1,801","1,037",764,,,,,,,,,,,,,
DE,Delaware,"16,368",,,,,,,,,,X,,,,,,,,,,
FL,Florida,"32,140","10,585","9,441","4,887","4,554","1,144",336,808,,,,,,,,,,,,,
GA,Georgia,"17,237","6,066","3,692",,,"2,374","1,566",808,,X,,,,,,,,,,,
HI,Hawaii,"6,943","3,596","3,237","1,937","1,300",359,174,185,,,,,,,,,,,,,
IA,Iowa,"5,757","2,426","1,687",922,765,739,470,269,,,X,,,,,,,,,,
ID,Idaho,"6,710","5,144","3,064","2,395",669,"2,080","1,784",296,,,X,,,,,,,,,,
IL,Illinois,"25,321","8,680",,,,"8,680","1,775","6,905",,,,,,,,,,,,,
IN,Indiana,"11,850","6,333","3,812","1,516","2,296","2,521",454,"2,067",,,,,,,,,,,,,
KS,Kansas,"6,369","4,336","2,939",522,"2,417","1,397",196,"1,201",,X,,,,,,,,,,,
KY,Kentucky,"21,444","13,665","4,715",,,"8,950",252,"8,698",,,X,,,,,,,,,,
LA,Louisiana,"16,450","8,424","3,473",674,"2,799","4,951","4,191",760,,,X,,,,,,,,,,
MA,Massachusetts,"2,492",256,27,,,229,45,184,,,,,,,,,,,,,
MD,Maryland,"8,510","2,890","1,582",154,"1,428","1,308",178,"1,130",,,X,,,,,,,,,,
ME,Maine,"1,345",588,588,298,290,,,,,,X,,,,,,,,,,
MI,Michigan,"9,386","4,889","2,169",,,"2,720","1,029","1,691",,,,,,,,,,,,,
MN,Minnesota,"8,200","5,370","1,979",,,"3,391",405,"2,986",,,,,,,,,,,,,
MO,Missouri,"19,202","14,891","8,188","2,816","5,372","6,703","1,356","5,347",,,X,,,,,,,,,,
MS,Mississippi,"8,545","3,842","2,021",570,"1,451","1,821",261,"1,560",,X,,,,,,,,,,,
MT,Montana,"1,267",520,321,113,208,199,21,178,,,,,,,,,,,,,
NC,North Carolina,"24,288","14,326","8,888","6,448","2,440","5,438","5,393",45,,,X,,,,,,,,,,
ND,North Dakota,"1,604",793,503,118,385,290,18,272,,,,,,,,,,,,,
NE,Nebraska,"2,765",599,151,,,448,228,220,,,X,,,,,,,,,,
NH,New Hampshire,"1,680","1,003",181,13,168,822,37,785,,,X,,,,,,,,,,
NJ,New Jersey,"8,936","2,422",,,,"2,422",567,"1,855",,,,,,,,,,,,,
NM,New Mexico,"3,911","1,210",,,,"1,210",0,0,,X,,,,,,,,,,,
NV,Nevada,"6,011","2,360","1,566",69,"1,497",794,23,771,,,,,,,,,,,,,
NY,New York,"24,851","11,705",,,,"11,705","1,360","10,345",,,X,,,,,,,,,,
OH,Ohio,"18,626","8,908","3,986",,"3,986","4,922","2,072","2,850",,X,,,,,,,,,,,
OK,Oklahoma,"9,683","2,278","2,220","1,184","1,036",58,,,,,,,,,,,,,,,
OR,Oregon,"5,208","2,346","1,127",564,563,"1,219",905,314,,,,,,,,,,,,,
PA,Pennsylvania,"20,958","9,154",,,,"9,154","3,998","5,156",,,X,,,,,,,,,,
RI,Rhode Island,"3,051","1,186","1,077",894,183,109,33,76,,,,,,,,,,,,,
SC,South Carolina,"8,357","3,299","2,685",478,"2,207",614,434,180,,,,,,,,,,,,,
SD,South Dakota,"4,045","2,776",728,183,545,"2,048",97,"1,951",,,,,,,,,,,,,
TN,Tennessee,"12,788","4,978","3,405",,"3,405","1,573",0,"1,573",,,,,,,,,,,,,
TX,Texas,"65,278","26,396","19,037","9,252","9,785","7,359","5,497","1,862",,,X,,,,,,,,,,
UT,Utah,"3,859","3,035",989,529,460,"2,046",496,"1,550",,,,,,,,,,,,,
VA,Virginia,"11,585","5,860","5,763","4,698","1,065",97,72,25,,,,,,,,,,,,,
VT,Vermont,8074,435,133,,,302,,,,,X,,,,,,,,,,
WA,Washington,"8,289","3,250",,,,"3,250","1,915","1,335",,X,,,,,,,,,,,
WI,Wisconsin,"9,453","6,614","2,778","1,118","1,660","3,836","1,524","2,312",,,X,,,,,,,,,,
WV,West Virginia,"3,742","1,304",680,10,670,624,401,223,,,X,,,,,,,,,,
WY,Wyoming,"1,058",580,335,60,275,245,28,217,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Total,"633,064","259,410","129,037","64,344","64,693","130,373","51,000","79,373",,,19,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Count,50,49,43,33,35,48,44,45,,,,,,,,,,,,,