"","States","year","category","count","type"
"1","Alaska","2018","Total.population",4408,"Population"
"2","Alaska","2018","Total.violation.population",1543,"Population"
"3","Alabama","2018","Total.population",27157,"Population"
"4","Alabama","2018","Total.violation.population",306,"Population"
"5","Arkansas","2018","Total.population",15646,"Population"
"6","Arkansas","2018","Total.violation.population",8177,"Population"
"7","Arizona","2018","Total.population",41937,"Population"
"8","Arizona","2018","Total.violation.population",10080,"Population"
"9","California","2018","Total.population",129075,"Population"
"10","California","2018","Total.violation.population",31651,"Population"
"11","Colorado","2018","Total.population",20137,"Population"
"12","Colorado","2018","Total.violation.population",3946,"Population"
"13","Connecticut","2018","Total.population",13366,"Population"
"14","Connecticut","2018","Total.violation.population",NA,"Population"
"15","Delaware","2018","Total.population",5207,"Population"
"16","Delaware","2018","Total.violation.population",530,"Population"
"17","Florida","2018","Total.population",96253,"Population"
"18","Florida","2018","Total.violation.population",16558,"Population"
"19","Georgia","2018","Total.population",NA,"Population"
"20","Georgia","2018","Total.violation.population",NA,"Population"
"21","Hawaii","2018","Total.population",4396,"Population"
"22","Hawaii","2018","Total.violation.population",1232,"Population"
"23","Iowa","2018","Total.population",8363,"Population"
"24","Iowa","2018","Total.violation.population",2675,"Population"
"25","Idaho","2018","Total.population",8651,"Population"
"26","Idaho","2018","Total.violation.population",3776,"Population"
"27","Illinois","2018","Total.population",40872,"Population"
"28","Illinois","2018","Total.violation.population",6276,"Population"
"29","Indiana","2018","Total.population",NA,"Population"
"30","Indiana","2018","Total.violation.population",NA,"Population"
"31","Kansas","2018","Total.population",9973,"Population"
"32","Kansas","2018","Total.violation.population",3077,"Population"
"33","Kentucky","2018","Total.population",NA,"Population"
"34","Kentucky","2018","Total.violation.population",NA,"Population"
"35","Louisiana","2018","Total.population",32488,"Population"
"36","Louisiana","2018","Total.violation.population",9744,"Population"
"37","Massachusetts","2018","Total.population",8279,"Population"
"38","Massachusetts","2018","Total.violation.population",226,"Population"
"39","Maryland","2018","Total.population",19453,"Population"
"40","Maryland","2018","Total.violation.population",1684,"Population"
"41","Maine","2018","Total.population",2473,"Population"
"42","Maine","2018","Total.violation.population",NA,"Population"
"43","Michigan","2018","Total.population",38827,"Population"
"44","Michigan","2018","Total.violation.population",1454,"Population"
"45","Minnesota","2018","Total.population",9821,"Population"
"46","Minnesota","2018","Total.violation.population",3033,"Population"
"47","Missouri","2018","Total.population",31721,"Population"
"48","Missouri","2018","Total.violation.population",17292,"Population"
"49","Mississippi","2018","Total.population",19276,"Population"
"50","Mississippi","2018","Total.violation.population",5705,"Population"
"51","Montana","2018","Total.population",2711,"Population"
"52","Montana","2018","Total.violation.population",730,"Population"
"53","North Carolina","2018","Total.population",37104,"Population"
"54","North Carolina","2018","Total.violation.population",10517,"Population"
"55","North Dakota","2018","Total.population",1695,"Population"
"56","North Dakota","2018","Total.violation.population",593,"Population"
"57","Nebraska","2018","Total.population",5302,"Population"
"58","Nebraska","2018","Total.violation.population",591,"Population"
"59","New Hampshire","2018","Total.population",2578,"Population"
"60","New Hampshire","2018","Total.violation.population",75,"Population"
"61","New Jersey","2018","Total.population",NA,"Population"
"62","New Jersey","2018","Total.violation.population",NA,"Population"
"63","New Mexico","2018","Total.population",NA,"Population"
"64","New Mexico","2018","Total.violation.population",NA,"Population"
"65","Nevada","2018","Total.population",13740,"Population"
"66","Nevada","2018","Total.violation.population",2996,"Population"
"67","New York","2018","Total.population",49312,"Population"
"68","New York","2018","Total.violation.population",11034,"Population"
"69","Ohio","2018","Total.population",NA,"Population"
"70","Ohio","2018","Total.violation.population",NA,"Population"
"71","Oklahoma","2018","Total.population",27180,"Population"
"72","Oklahoma","2018","Total.violation.population",2856,"Population"
"73","Oregon","2018","Total.population",15478,"Population"
"74","Oregon","2018","Total.violation.population",1692,"Population"
"75","Pennsylvania","2018","Total.population",48353,"Population"
"76","Pennsylvania","2018","Total.violation.population",7525,"Population"
"77","Rhode Island","2018","Total.population",2108,"Population"
"78","Rhode Island","2018","Total.violation.population",653,"Population"
"79","South Carolina","2018","Total.population",18958,"Population"
"80","South Carolina","2018","Total.violation.population",3129,"Population"
"81","South Dakota","2018","Total.population",4026,"Population"
"82","South Dakota","2018","Total.violation.population",1871,"Population"
"83","Tennessee","2018","Total.population",22339,"Population"
"84","Tennessee","2018","Total.violation.population",4835,"Population"
"85","Texas","2018","Total.population",145019,"Population"
"86","Texas","2018","Total.violation.population",34296,"Population"
"87","Utah","2018","Total.population",6695,"Population"
"88","Utah","2018","Total.violation.population",3331,"Population"
"89","Virginia","2018","Total.population",29907,"Population"
"90","Virginia","2018","Total.violation.population",11239,"Population"
"91","Vermont","2018","Total.population",1296,"Population"
"92","Vermont","2018","Total.violation.population",119,"Population"
"93","Washington","2018","Total.population",19636,"Population"
"94","Washington","2018","Total.violation.population",7293,"Population"
"95","Wisconsin","2018","Total.population",23865,"Population"
"96","Wisconsin","2018","Total.violation.population",12374,"Population"
"97","West Virginia","2018","Total.population",6776,"Population"
"98","West Virginia","2018","Total.violation.population",796,"Population"
"99","Wyoming","2018","Total.population",2454,"Population"
"100","Wyoming","2018","Total.violation.population",738,"Population"
"101","Alaska","2019","Total.population",4599,"Population"
"102","Alaska","2019","Total.violation.population",1646,"Population"
"103","Alabama","2019","Total.population",27922,"Population"
"104","Alabama","2019","Total.violation.population",278,"Population"
"105","Arkansas","2019","Total.population",15680,"Population"
"106","Arkansas","2019","Total.violation.population",7413,"Population"
"107","Arizona","2019","Total.population",41937,"Population"
"108","Arizona","2019","Total.violation.population",10080,"Population"
"109","California","2019","Total.population",125195,"Population"
"110","California","2019","Total.violation.population",30983,"Population"
"111","Colorado","2019","Total.population",19951,"Population"
"112","Colorado","2019","Total.violation.population",4101,"Population"
"113","Connecticut","2019","Total.population",13100,"Population"
"114","Connecticut","2019","Total.violation.population",NA,"Population"
"115","Delaware","2019","Total.population",4436,"Population"
"116","Delaware","2019","Total.violation.population",438,"Population"
"117","Florida","2019","Total.population",95626,"Population"
"118","Florida","2019","Total.violation.population",13907,"Population"
"119","Georgia","2019","Total.population",NA,"Population"
"120","Georgia","2019","Total.violation.population",NA,"Population"
"121","Hawaii","2019","Total.population",4337,"Population"
"122","Hawaii","2019","Total.violation.population",1417,"Population"
"123","Iowa","2019","Total.population",8431,"Population"
"124","Iowa","2019","Total.violation.population",2682,"Population"
"125","Idaho","2019","Total.population",9038,"Population"
"126","Idaho","2019","Total.violation.population",3903,"Population"
"127","Illinois","2019","Total.population",39306,"Population"
"128","Illinois","2019","Total.violation.population",5708,"Population"
"129","Indiana","2019","Total.population",NA,"Population"
"130","Indiana","2019","Total.violation.population",NA,"Population"
"131","Kansas","2019","Total.population",10044,"Population"
"132","Kansas","2019","Total.violation.population",3085,"Population"
"133","Kentucky","2019","Total.population",NA,"Population"
"134","Kentucky","2019","Total.violation.population",NA,"Population"
"135","Louisiana","2019","Total.population",31519,"Population"
"136","Louisiana","2019","Total.violation.population",9426,"Population"
"137","Massachusetts","2019","Total.population",7978,"Population"
"138","Massachusetts","2019","Total.violation.population",222,"Population"
"139","Maryland","2019","Total.population",19014,"Population"
"140","Maryland","2019","Total.violation.population",1563,"Population"
"141","Maine","2019","Total.population",2265,"Population"
"142","Maine","2019","Total.violation.population",NA,"Population"
"143","Michigan","2019","Total.population",38370,"Population"
"144","Michigan","2019","Total.violation.population",1547,"Population"
"145","Minnesota","2019","Total.population",9577,"Population"
"146","Minnesota","2019","Total.violation.population",2911,"Population"
"147","Missouri","2019","Total.population",28174,"Population"
"148","Missouri","2019","Total.violation.population",14344,"Population"
"149","Mississippi","2019","Total.population",19426,"Population"
"150","Mississippi","2019","Total.violation.population",5786,"Population"
"151","Montana","2019","Total.population",2784,"Population"
"152","Montana","2019","Total.violation.population",794,"Population"
"153","North Carolina","2019","Total.population",34394,"Population"
"154","North Carolina","2019","Total.violation.population",10094,"Population"
"155","North Dakota","2019","Total.population",1794,"Population"
"156","North Dakota","2019","Total.violation.population",597,"Population"
"157","Nebraska","2019","Total.population",5487,"Population"
"158","Nebraska","2019","Total.violation.population",717,"Population"
"159","New Hampshire","2019","Total.population",2515,"Population"
"160","New Hampshire","2019","Total.violation.population",72,"Population"
"161","New Jersey","2019","Total.population",NA,"Population"
"162","New Jersey","2019","Total.violation.population",NA,"Population"
"163","New Mexico","2019","Total.population",NA,"Population"
"164","New Mexico","2019","Total.violation.population",NA,"Population"
"165","Nevada","2019","Total.population",12922,"Population"
"166","Nevada","2019","Total.violation.population",2680,"Population"
"167","New York","2019","Total.population",46331,"Population"
"168","New York","2019","Total.violation.population",10548,"Population"
"169","Ohio","2019","Total.population",NA,"Population"
"170","Ohio","2019","Total.violation.population",NA,"Population"
"171","Oklahoma","2019","Total.population",26102,"Population"
"172","Oklahoma","2019","Total.violation.population",2376,"Population"
"173","Oregon","2019","Total.population",15286,"Population"
"174","Oregon","2019","Total.violation.population",1624,"Population"
"175","Pennsylvania","2019","Total.population",45975,"Population"
"176","Pennsylvania","2019","Total.violation.population",7226,"Population"
"177","Rhode Island","2019","Total.population",1957,"Population"
"178","Rhode Island","2019","Total.violation.population",623,"Population"
"179","South Carolina","2019","Total.population",18848,"Population"
"180","South Carolina","2019","Total.violation.population",3051,"Population"
"181","South Dakota","2019","Total.population",3858,"Population"
"182","South Dakota","2019","Total.violation.population",1849,"Population"
"183","Tennessee","2019","Total.population",NA,"Population"
"184","Tennessee","2019","Total.violation.population",NA,"Population"
"185","Texas","2019","Total.population",142169,"Population"
"186","Texas","2019","Total.violation.population",32818,"Population"
"187","Utah","2019","Total.population",5485,"Population"
"188","Utah","2019","Total.violation.population",2661,"Population"
"189","Virginia","2019","Total.population",30144,"Population"
"190","Virginia","2019","Total.violation.population",12490,"Population"
"191","Vermont","2019","Total.population",1315,"Population"
"192","Vermont","2019","Total.violation.population",209,"Population"
"193","Washington","2019","Total.population",19261,"Population"
"194","Washington","2019","Total.violation.population",7505,"Population"
"195","Wisconsin","2019","Total.population",23778,"Population"
"196","Wisconsin","2019","Total.violation.population",12163,"Population"
"197","West Virginia","2019","Total.population",6800,"Population"
"198","West Virginia","2019","Total.violation.population",904,"Population"
"199","Wyoming","2019","Total.population",2543,"Population"
"200","Wyoming","2019","Total.violation.population",774,"Population"
"201","Alabama","2020","Total.population",25344,"Population"
"202","Alabama","2020","Total.violation.population",1,"Population"
"203","Alaska","2020","Total.population",4618,"Population"
"204","Alaska","2020","Total.violation.population",1533,"Population"
"205","Arizona","2020","Total.population",37731,"Population"
"206","Arizona","2020","Total.violation.population",8838,"Population"
"207","Arkansas","2020","Total.population",13840,"Population"
"208","Arkansas","2020","Total.violation.population",6242,"Population"
"209","California","2020","Total.population",95318,"Population"
"210","California","2020","Total.violation.population",21570,"Population"
"211","Colorado","2020","Total.population",17441,"Population"
"212","Colorado","2020","Total.violation.population",3270,"Population"
"213","Connecticut","2020","Total.population",9111,"Population"
"214","Connecticut","2020","Total.violation.population",NA,"Population"
"215","Delaware","2020","Total.population",3894,"Population"
"216","Delaware","2020","Total.violation.population",348,"Population"
"217","Florida","2020","Total.population",79526,"Population"
"218","Florida","2020","Total.violation.population",11274,"Population"
"219","Georgia","2020","Total.population",47709,"Population"
"220","Georgia","2020","Total.violation.population",9295,"Population"
"221","Idaho","2020","Total.population",8025,"Population"
"222","Idaho","2020","Total.violation.population",3924,"Population"
"223","Illinois","2020","Total.population",29224,"Population"
"224","Illinois","2020","Total.violation.population",4033,"Population"
"225","Kansas","2020","Total.population",8869,"Population"
"226","Kansas","2020","Total.violation.population",2590,"Population"
"227","Louisiana","2020","Total.population",27010,"Population"
"228","Louisiana","2020","Total.violation.population",7754,"Population"
"229","Maine","2020","Total.population",1715,"Population"
"230","Maine","2020","Total.violation.population",NA,"Population"
"231","Maryland","2020","Total.population",18607,"Population"
"232","Maryland","2020","Total.violation.population",1530,"Population"
"233","Mississippi","2020","Total.population",17586,"Population"
"234","Mississippi","2020","Total.violation.population",5127,"Population"
"235","Missouri","2020","Total.population",23062,"Population"
"236","Missouri","2020","Total.violation.population",11904,"Population"
"237","Montana","2020","Total.population",2401,"Population"
"238","Montana","2020","Total.violation.population",706,"Population"
"239","Nevada","2020","Total.population",11422,"Population"
"240","Nevada","2020","Total.violation.population",2333,"Population"
"241","New Hampshire","2020","Total.population",2155,"Population"
"242","New Hampshire","2020","Total.violation.population",43,"Population"
"243","New Jersey","2020","Total.population",NA,"Population"
"244","New Jersey","2020","Total.violation.population",NA,"Population"
"245","North Carolina","2020","Total.population",23969,"Population"
"246","North Carolina","2020","Total.violation.population",6974,"Population"
"247","North Dakota","2020","Total.population",1401,"Population"
"248","North Dakota","2020","Total.violation.population",397,"Population"
"249","Oklahoma","2020","Total.population",21737,"Population"
"250","Oklahoma","2020","Total.violation.population",1993,"Population"
"251","Oregon","2020","Total.population",13102,"Population"
"252","Oregon","2020","Total.violation.population",1389,"Population"
"253","Pennsylvania","2020","Total.population",39493,"Population"
"254","Pennsylvania","2020","Total.violation.population",5739,"Population"
"255","Rhode Island","2020","Total.population",1491,"Population"
"256","Rhode Island","2020","Total.violation.population",350,"Population"
"257","South Carolina","2020","Total.population",15726,"Population"
"258","South Carolina","2020","Total.violation.population",2417,"Population"
"259","South Dakota","2020","Total.population",3249,"Population"
"260","South Dakota","2020","Total.violation.population",1410,"Population"
"261","Texas","2020","Total.population",121119,"Population"
"262","Texas","2020","Total.violation.population",25822,"Population"
"263","Vermont","2020","Total.population",1066,"Population"
"264","Vermont","2020","Total.violation.population",250,"Population"
"265","Washington","2020","Total.population",15726,"Population"
"266","Washington","2020","Total.violation.population",5351,"Population"
"267","West Virginia","2020","Total.population",6044,"Population"
"268","West Virginia","2020","Total.violation.population",676,"Population"
"269","Wisconsin","2020","Total.population",20121,"Population"
"270","Wisconsin","2020","Total.violation.population",9933,"Population"
"271","Wyoming","2020","Total.population",2364,"Population"
"272","Wyoming","2020","Total.violation.population",681,"Population"
"273","Alaska","2018","Total.admissions",32627,"Admissions"
